Year,Gov_agency_Cod,Sup_Gov_agency_Cod,Planned,Released,Gov_agency_Name,Sup_Gov_agency_Name,Paid_out
2015,26270,26000,"699.506.715,60","664.689.646,57",Fundacao Universidade do Amazonas,Ministerio da Educacao,"653.874.311,20"
2015,26271,26000,"1.680.536.230,04","1.577.015.986,06",Fundacao Universidade de Brasilia,Ministerio da Educacao,"1.560.995.503,79"
2015,26272,26000,"831.358.697,87","788.074.395,85",Fundacao Universidade do Maranhao,Ministerio da Educacao,"758.629.277,05"
2015,26273,26000,"498.578.016,89","470.013.030,70",Universidade Federal do Rio Grande,Ministerio da Educacao,"460.768.657,38"
2015,26274,26000,"1.264.562.476,37","1.233.742.349,05",Fundacao Universidade Federal de Uberla¢ndia ,Ministerio da Educacao,"1.220.205.961,17"
2015,26275,26000,"284.764.477,07","260.625.316,38",Fundacao Universidade Federal do Acre,Ministerio da Educacao,"258.280.115,31"
2015,26276,26000,"826.699.711,62","791.838.828,44",Fundacao Universidade Federal do Mato Grosso,Ministerio da Educacao,"777.039.370,93"
2015,26277,26000,"364.165.882,76","352.363.348,88",Universidade Federal de Ouro Preto,Ministerio da Educacao,"349.781.671,04"
2015,26278,26000,"711.437.416,04","678.278.990,03",Fundacao Universidade Federal de Pelotas,Ministerio da Educacao,"664.479.169,02"
2015,26279,26000,"700.588.210,84","655.808.532,50",Fundacao Universidade Federal do Piaui,Ministerio da Educacao,"639.295.508,06"
2015,26280,26000,"536.958.779,55","519.003.235,94",Fundacao Universidade Federal de Sao Carlos,Ministerio da Educacao,"509.128.583,85"
2015,26281,26000,"617.773.191,21","594.779.675,85",Fundacao Universidade Federal de Sergipe,Ministerio da Educacao,"583.009.154,27"
2015,26282,26000,"776.326.029,45","757.243.856,28",Universidade Federal de Vicosa,Ministerio da Educacao,"744.913.252,28"
2015,26283,26000,"699.432.733,62","669.097.399,49",Fundacao Universidade Federal do Mato Grosso do Sul,Ministerio da Educacao,"663.007.501,88"
2015,26284,26000,"135.648.247,37","121.564.379,60",Fundacao Universidade Federal de Ciencias da Saude de Porto Alegre,Ministerio da Educacao,"117.872.071,78"
2015,26285,26000,"268.020.686,64","249.893.628,75",Fundacao Universidade Federal de Sao Joao Del-Rei,Ministerio da Educacao,"249.168.271,59"
2015,26286,26000,"156.138.929,68","127.113.053,12",Fundacao Universidade Federal do Amapa,Ministerio da Educacao,"126.955.776,53"
2015,26290,26000,"1.285.684.166,69","835.077.928,73",Instituto Nacional de Estudos e Pesquisas Educacionais Anisio Teixeira,Ministerio da Educacao,"832.018.689,09"
2015,26291,26000,"7.693.788.079,71","7.593.694.725,75",Fundacao Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,Ministerio da Educacao,"7.592.707.145,75"
2015,26292,26000,"117.317.585,66","111.228.457,71",Fundacao Joaquim Nabuco,Ministerio da Educacao,"111.109.368,02"
2015,26294,26000,"1.234.239.575,39","1.206.454.216,54",Hospital de Clinicas de Porto Alegre,Ministerio da Educacao,"1.168.889.669,52"
2015,26298,26000,"58.169.849.203,91","46.997.732.433,98",Fundo Nacional de Desenvolvimento da Educacao,Ministerio da Educacao,"46.099.459.061,64"
2015,26350,26000,"265.354.509,46","226.104.207,41",Fundacao Universidade Federal da Grande Dourados,Ministerio da Educacao,"218.182.779,77"
2015,26351,26000,"210.407.803,41","204.750.045,82",Universidade Federal do Reconcavo da Bahia,Ministerio da Educacao,"199.497.952,61"
2015,26352,26000,"248.462.928,93","213.256.699,40",Fundacao Universidade Federal do ABC,Ministerio da Educacao,"201.108.253,33"
2015,26432,26000,"262.339.973,35","236.294.077,12",Instituto Federal do Parana,Ministerio da Educacao,"226.044.605,32"
2015,26440,26000,"219.850.621,86","195.889.390,53",Universidade Federal da Fronteira Sul,Ministerio da Educacao,"188.579.639,85"
2015,26441,26000,"147.030.313,40","125.405.785,09",Universidade Federal do Oeste do Para,Ministerio da Educacao,"122.098.642,82"
2015,26442,26000,"102.070.897,35","82.649.189,76",Universidade da Integracao Internacional da Lusofonia Afro-Brasileira,Ministerio da Educacao,"80.686.843,86"
2015,26443,26000,"2.093.563.322,22","1.881.961.061,25",Empresa Brasileira de Servicos Hospitalares,Ministerio da Educacao,"1.863.513.442,87"
2015,26447,26000,"40.116.407,17","29.980.201,17",Universidade Federal do Oeste da Bahia ,Ministerio da Educacao,"29.901.224,48"
2015,26448,26000,"77.781.589,11","65.175.900,27",Universidade Federal do Sul e Sudeste do Para,Ministerio da Educacao,"62.642.767,21"
2015,26449,26000,"72.896.271,43","60.091.069,13",Universidade Federal do Cariri,Ministerio da Educacao,"59.799.103,97"
2015,26450,26000,"42.855.705,05","35.186.767,25",Universidade Federal do Sul da Bahia,Ministerio da Educacao,"34.536.318,69"
2015,28500,25000,"7.040.434,00","7.040.434,00",Fundo de Garantia para a Promocao da Competitividade,Ministerio da Economia,"7.040.433,79"
2015,28501,25000,0,0,Fundo Nacional de Desestatizacao,Ministerio da Economia,0
2015,29205,53000,"279.311.806,73","269.665.892,94",Empresa de Trens Urbanos de Porto Alegre,Ministerio do Desenvolvimento Regional,"251.422.300,88"
2015,29208,32000,"539.686.931,58","464.199.438,63",Companhia de Pesquisa de Recursos Minerais,Ministerio de Minas e Energia,"437.389.319,50"
2015,29214,53000,"991.658.672,38","917.615.625,32",Companhia Brasileira de Trens Urbanos,Ministerio do Desenvolvimento Regional,"891.143.805,03"
2015,30000,30000,"860.648.350,47","690.456.140,80",Ministerio da Justica e Seguranca Publica - Unidades com vinculo direto,Ministerio da Justica e Seguranca Publica,"689.860.751,73"
